"","groupID","featureID","exonBaseMean","dispersion","stat","pvalue","padj","Naive","Diff","log2fold_Diff_Naive","countData.1_C1P_S1","countData.11_F8P_Diff_S11","countData.3_F6_S3","countData.5_F8P_S5","countData.7_C1P_Diff_S7","countData.9_F6_Diff_S9"
"Cacna2d1:XM_011249744.4-39","Cacna2d1","XM_011249744.4-39",115.886264050986,0.00678699473710291,10.753232236331,0.00104097352113213,0.0997843022846388,15.5166629309482,12.9718790747293,-0.52196056997458,161,81,125,199,52,82
"Magi2:XR_004942531.1-24","Magi2","XR_004942531.1-24",478.022004211324,0.00118723376412566,11.7963077062773,0.00059348309023768,0.0710508951936096,28.3204427992598,30.0240652477026,0.175498185091621,291,591,369,421,626,629
"Magi2:NM_001170746.1-23","Magi2","NM_001170746.1-23",478.022004211324,0.00118723376412566,11.7963077062773,0.00059348309023768,0.0710508951936096,28.3204427992598,30.0240652477025,0.17549818509162,291,591,369,421,626,629
"Pus7:XR_880846.2-6","Pus7","XR_880846.2-6",39.5052852849974,0.0330841091373635,14.9575926635659,0.000109954706520289,0.0228380714943296,6.62094627431713,10.7533615449909,1.40441263709273,35,56,21,23,60,46
"Kcnh2:XR_389740.5-4","Kcnh2","XR_389740.5-4",1940.11988709464,0.000437099030820769,18.2956721480371,1.89136367143884e-05,0.00625190540556301,55.1563868721438,57.9537573844042,0.164379387939459,1514,1652,1858,1868,3085,2100
"Kcnh2:XM_006535632.5-1","Kcnh2","XM_006535632.5-1",32.918068325484,0.0423489369870244,12.3661640248419,0.000437184910993681,0.0582422996357236,5.8622726507632,9.46937655289614,1.38751373171978,6,41,21,25,59,54
"Kcnh2:NM_001294162.1-1","Kcnh2","NM_001294162.1-1",228.730523029659,0.00578506865783433,37.5256283612648,9.02197102508807e-10,1.69365275025984e-06,23.8719350397808,17.5243367178206,-0.910350401486252,258,111,329,278,292,145
"Cdk5:XM_006535626.4-12","Cdk5","XM_006535626.4-12",338.949196790888,0.0104263696824204,13.3453905089704,0.000259058606670419,0.0413227057058559,27.9033004434208,22.2798395710605,-0.669158703657795,350,312,351,530,323,219
"Fastk:XM_036165410.1-1","Fastk","XM_036165410.1-1",3715.65328690505,0.00118222079758837,12.8505115990185,0.000337386989528907,0.0493234249082139,76.5088637920753,72.0613205812103,-0.217036679689052,3148,3550,2753,4788,5711,3360
"Fastk:XM_017321067.3-1","Fastk","XM_017321067.3-1",3715.65328690505,0.00118222079758837,12.8505115990185,0.000337386989528907,0.0493234249082139,76.5088637920753,72.0613205812103,-0.217036679689052,3148,3550,2753,4788,5711,3360
