"","baseMean","log2FoldChange","lfcSE","pvalue","padj","10_S2_Diff_S10","12_S3_Diff_S12","2_S1_S2","4_S2_S4","6_S3_S6","8_S1_Diff_S8"
"Snord99",72.4283290147516,-0.700239226340838,0.404395794876678,0.00841488365823716,0.0324897248075078,34,63,79,84,81,29
"Snhg3",930.075488475203,-0.519058500360818,0.266511598573696,0.0141049112032153,0.0487499395121511,626,858,1082,1081,867,568
"Sesn2",12216.2375806417,1.36552567578752,0.237275195174407,1.15042260123058e-10,6.31497683905863e-09,14239,23124,6049,6859,5250,20096
"Ppp1r8",34726.5147937022,0.406012448275803,0.167953704363231,0.00778361178815022,0.0305302199000602,33282,56225,30434,32385,26020,51059
"Fgr",9.59620032425187,0.766480760407662,0.734199258078198,0.00872104381268071,0.0333829075772366,12,21,5,1,0,12
"Wasf2",21374.3627919917,0.293403140461062,0.0904074627835377,0.000856189424704445,0.00519485996719546,18827,31401,18230,19442,16244,25804
"Gpr3",1108.56382550001,0.909025701504341,0.137217179701832,1.25223030329372e-12,1.02171273267572e-10,1254,1990,708,838,665,1638
"Cd164l2",111.006769305707,1.99407187376305,0.299484721659908,7.08252314720561e-13,6.03713121438026e-11,171,255,42,42,31,164
"Map3k6",22428.5011953875,2.2807875732702,0.0975667103681793,2.47893521454293e-122,5.19807925137507e-118,30927,52552,7267,8285,6785,42145
"Tmem222",16451.4077366503,0.597327554252264,0.193807578680117,0.000443416806415438,0.00303657969096189,15205,25750,11922,13395,10581,25730
"Wdtc1",19903.2821485856,0.422522135673349,0.173622925782147,0.00698547889155648,0.0280767521228098,17924,29134,15502,16796,13286,25995
"Dhdds",19312.6329950077,0.450852048919295,0.180496879945082,0.00522048599745068,0.0224090830871122,17419,31109,15357,17087,13543,27712
"Sh3bgrl3",24753.9566230841,0.476664934690719,0.183249374312141,0.00350047631047381,0.0162428607555489,22497,36526,19517,20747,16235,35888
"Cnksr1",62.4423745892518,-0.600573832258214,0.271874595840626,0.00514000975365136,0.0221225091388168,30,75,81,64,68,37
"E130218I03Rik",49.802653040182,0.94765745585656,0.402093427327727,0.000668427220806804,0.00423451673507489,55,90,30,28,16,67
"Pdik1l",5189.7834238364,-0.720948895592072,0.284089313573553,0.00115831293056984,0.0066290021400434,3050,4533,6180,6153,5779,3022
"Extl1",12763.7997792276,1.67915764623193,0.178463408808922,1.50297899239116e-22,4.20212886552671e-20,15228,25246,5225,5862,4708,19587
"Gm30453",104.314370170105,1.80745415227195,0.323165625246255,4.20343238446433e-10,2.03560678221322e-08,163,195,47,53,32,233
"Man1c1",18060.3351906307,-0.430890336673203,0.148914801817396,0.00178981162173644,0.00942032125908418,12302,18759,18158,20759,17260,14270
"Rsrp1",13241.3452762988,-0.867662832521737,0.34624562429042,0.000615056547410583,0.00395981600941127,6760,8195,13386,13995,13575,5153
