"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"1700001G17Rik",372.077962107718,-0.731925279480851,0.336136114817057,0.00113636145419507,0.0199098716767439
"Gm32229",118.224078333528,-0.0458697785945465,0.135358060151664,0.502484998720825,0.809436615184511
"Rab23",14123.5451495771,0.199233731840071,0.0820629866715417,0.00507011701418551,0.0602343528966889
"Bag2",4796.97966967363,0.105243958638101,0.13627943615046,0.218847778990407,0.577325862388231
"Zfp451",13237.155860652,0.0231626639323833,0.0801931892261904,0.735798286067341,0.921352209196628
"Gm15455",160.150578199118,-0.057657074260377,0.13599882701709,0.421785052656553,0.755051150963241
"Bend6",748.630895018641,-0.390389372535644,0.136612172410404,0.000438485683104094,0.00956016767377627
"Gm38471",40.6403635935655,-0.0610599392322968,0.160396839578274,0.17969537497893,0.527982422207316
"Dst",83227.7567309098,0.120756810405127,0.110771805132838,0.161964459057019,0.500749650687557
"LOC118567732",63.6907227764265,-0.0261668177192195,0.14129100271165,0.628294872332032,0.874464615815428
