"","groupID","featureID","exonBaseMean","dispersion","stat","pvalue","padj","WT","KO","log2fold_KO_WT","countData.1_C1P_S1","countData.2_S1_S2","countData.3_F6_S3","countData.4_S2_S4","countData.5_F8P_S5","countData.6_S3_S6"
"Foxk2:122","Foxk2","122",95.4187136495655,0.00323413001599943,11.4321377999464,0.000721845842832499,0.0850526282093988,13.3846725286271,15.9641259939706,0.509870614766981,107,82,96,87,131,78
"Rab10os:4","Rab10os","4",410.549699812762,0.000654442594645433,16.2589764072594,5.52472275400342e-05,0.0164602706588405,28.6047520866587,31.0877977286145,0.242859381610167,420,309,580,318,591,285
"Rab10os:7","Rab10os","7",333.83657564402,0.00146125639573555,44.1778430861097,2.99856199433103e-11,1.67104961303187e-07,30.0639232358669,24.7654902661046,-0.56464352443747,286,324,364,376,353,309
"Rab10:2","Rab10","2",2609.83022569471,0.000186969580622197,11.834385435312,0.00058146886487625,0.0752981778771929,73.2152372565228,75.0694677666375,0.0770657277910001,2555,2563,2738,2653,3040,2236
"Kif3c:8","Kif3c","8",3642.34014466767,0.000213097893397569,22.53063134342,2.0681927378564e-06,0.00155109357195906,88.0743326132307,84.9848365458065,-0.112516784726479,3388,3524,3795,4136,3905,3234
"Wdcp:5","Wdcp","5",831.210643128436,0.000377991585196141,11.2372266009278,0.000801728665786813,0.090723399834024,44.0894612024102,41.5476467832536,-0.175249368700856,854,780,745,910,948,786
"Wdcp:9","Wdcp","9",831.210643128436,0.000377991585196141,11.2372266009278,0.000801728665786813,0.090723399834024,44.0894612024102,41.5476467832536,-0.175249368700856,854,780,745,910,948,786
"Wdcp:21","Wdcp","21",831.210643128436,0.000377991585196141,11.2372266009278,0.000801728665786813,0.090723399834024,44.0894612024102,41.5476467832536,-0.175249368700856,854,780,745,910,948,786
"Wdcp:25","Wdcp","25",831.210643128436,0.000377991585196141,11.2372266009278,0.000801728665786813,0.090723399834024,44.0894612024102,41.5476467832536,-0.175249368700856,854,780,745,910,948,786
"Mfsd2b:1","Mfsd2b","1",2.80071801694444,0.108529374263148,12.5231370664778,0.000401943458964983,0.062539457777726,3.74501451948151,1.06095821214399,-3.63944003407371,1,4,1,4,0,6
"Mfsd2b:15","Mfsd2b","15",2.80071801694444,0.108529374263148,12.5231370664778,0.000401943458964983,0.062539457777726,3.74501451947913,1.0609582121466,-3.63944003406494,1,4,1,4,0,6
"Atad2b:18","Atad2b","18",532.670566238123,0.000454889579736101,17.1628873152041,3.43073884369963e-05,0.0119715663854856,35.9359298559893,32.9510113922983,-0.253912929107303,418,578,460,615,645,515
"Atad2b:47","Atad2b","47",532.670566238123,0.000454889579736101,17.1628873152041,3.43073884369963e-05,0.0119715663854856,35.9359298559893,32.9510113922983,-0.253912929107303,418,578,460,615,645,515
"Atad2b:75","Atad2b","75",532.670566238123,0.000454889579736101,17.1628873152041,3.43073884369963e-05,0.0119715663854856,35.9359298559893,32.9510113922983,-0.253912929107303,418,578,460,615,645,515
"Atad2b:103","Atad2b","103",532.670566238123,0.000454889579736101,17.1628873152041,3.43073884369963e-05,0.0119715663854856,35.9359298559893,32.9510113922983,-0.253912929107303,418,578,460,615,645,515
"Atad2b:126","Atad2b","126",532.670566238123,0.000454889579736101,17.1628873152041,3.43073884369963e-05,0.0119715663854856,35.9359298559893,32.9510113922983,-0.253912929107303,418,578,460,615,645,515
